Designator,Mid X,Mid Y,Layer,Rotation
C1,-75.200000,17.100000,top,-90.000000
D1,25.250000,11.650000,top,-90.000000
D3,-72.050000,7.850000,top,180.000000
D5,25.300000,16.650000,top,-90.000000
J2,-48.500000,24.400000,top,180.000000
Q1,-71.900000,10.500000,top,90.000000
Q2,-66.400000,5.250000,top,0.000000
R10,-74.500000,10.700000,top,-90.000000
R11,-62.950000,4.550000,top,0.000000
R12,-76.000000,10.700000,top,-90.000000
R4,23.250000,13.000000,top,90.000000
R5,-73.700000,20.100000,top,-90.000000
R6,-71.000000,13.900000,top,-90.000000
R7,-47.800000,17.600000,top,90.000000
R8,-73.700000,17.100000,top,-90.000000
R9,-50.200000,17.100000,top,90.000000
SW1,-78.050000,19.700000,top,90.000000
SW4,-75.050000,24.550000,top,180.000000
U3,-74.500000,13.900000,top,180.000000
U4,-72.000000,5.150000,top,90.000000
